movie_id,title,overview,release_date,runtime,vote_average,vote_count,popularity,original_language,director,top_cast
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",2009-12-10,162.0,7.2,11800,150.437577,en,James Cameron,"Sam Worthington, Zoe Saldana, Sigourney Weaver"
285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",2007-05-19,169.0,6.9,4500,139.082615,en,Gore Verbinski,"Johnny Depp, Orlando Bloom, Keira Knightley"
206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",2015-10-26,148.0,6.3,4466,107.376788,en,Sam Mendes,"Daniel Craig, Christoph Waltz, Léa Seydoux"
49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2012-07-16,165.0,7.6,9106,112.31295,en,Christopher Nolan,"Christian Bale, Michael Caine, Gary Oldman"
49529,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",2012-03-07,132.0,6.1,2124,43.926995,en,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Samantha Morton"
559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",2007-05-01,139.0,5.9,3576,115.699814,en,Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco"
38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",2010-11-24,100.0,7.4,3330,48.681969,en,Byron Howard,"Zachary Levi, Mandy Moore, Donna Murphy"
99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",2015-04-22,141.0,7.3,6767,134.279229,en,Joss Whedon,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",2009-07-07,153.0,7.4,5293,98.885637,en,David Yates,"Daniel Radcliffe, Rupert Grint, Emma Watson"
209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",2016-03-23,151.0,5.7,7004,155.790452,en,Zack Snyder,"Ben Affleck, Henry Cavill, Gal Gadot"
